ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000234768.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000200312.1	NaN	NaN	NaN	NaN	NaN	NaN	-3.3402	NaN
ENSG00000267431.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000115758.8	-0.0736	0.4898	1.9113	NaN	-3.2314	NaN	NaN	NaN
ENSG00000182149.16	-1.0651	-1.9549	0.1154	NaN	-0.1381	NaN	NaN	NaN
ENSG00000159131.12	-1.6070	NaN	NaN	NaN	-1.4314	NaN	NaN	NaN
ENSG00000135373.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000176919.7	NaN	NaN	NaN	NaN	3.8524	NaN	NaN	NaN
ENSG00000207460.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000135220.6	NaN	NaN	NaN	NaN	-0.6882	NaN	NaN	NaN
ENSG00000132004.8	NaN	NaN	3.5529	NaN	2.8968	NaN	NaN	NaN
ENSG00000258649.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000032444.11	-0.3578	0.9679	NaN	NaN	1.5278	NaN	NaN	NaN
ENSG00000225206.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000169564.5	-0.2800	-0.0221	1.9030	NaN	NaN	NaN	NaN	NaN
ENSG00000240253.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000251429.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000173275.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000262712.1	NaN	NaN	NaN	NaN	NaN	NaN	2.1003	NaN
ENSG00000241935.4	NaN	NaN	NaN	NaN	-0.8740	NaN	NaN	NaN
ENSG00000136383.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000184220.6	NaN	NaN	NaN	NaN	0.1088	NaN	NaN	NaN
ENSG00000104522.11	1.3499	2.6598	1.8524	NaN	1.8810	NaN	NaN	NaN
ENSG00000236497.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000166262.11	NaN	NaN	NaN	NaN	-1.9549	NaN	NaN	NaN
ENSG00000249797.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000101850.8	NaN	NaN	NaN	NaN	-0.8581	NaN	NaN	NaN
ENSG00000255860.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000115844.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000228957.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000232309.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000173581.3	NaN	2.6598	NaN	NaN	0.1073	NaN	NaN	NaN
ENSG00000119227.3	-1.9390	NaN	-1.2631	NaN	-0.5518	NaN	NaN	NaN
ENSG00000111676.10	0.4524	2.1743	-0.1476	NaN	3.1879	NaN	NaN	NaN
ENSG00000157017.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000007047.10	-1.4161	-0.0101	-0.6712	NaN	0.5240	NaN	NaN	NaN
ENSG00000242258.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000177733.4	-0.3886	-1.0221	1.8139	NaN	NaN	NaN	NaN	NaN
ENSG00000228395.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000164485.10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000112530.7	NaN	NaN	NaN	NaN	-1.0221	NaN	NaN	NaN
ENSG00000110696.5	-0.5626	NaN	NaN	NaN	-1.6607	NaN	NaN	NaN
ENSG00000173261.4	NaN	NaN	NaN	NaN	-0.6622	NaN	NaN	NaN
ENSG00000160318.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000257878.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000171476.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000185379.16	NaN	NaN	NaN	NaN	-0.2132	NaN	NaN	NaN
ENSG00000180902.12	0.7469	0.6300	3.9261	NaN	1.7514	NaN	NaN	NaN
