ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000117859.14	18	12	3	0	404	0	0	0
ENSG00000166471.6	7	2	44	0	65	0	0	0
ENSG00000174672.11	6	2	4	0	234	0	0	0
ENSG00000187595.10	0	0	0	0	41	0	1	0
ENSG00000169446.4	0	0	5	0	4	0	0	0
ENSG00000151835.9	12	0	5	0	34	0	0	0
ENSG00000139618.10	12	0	0	0	39	0	0	0
ENSG00000131002.7	0	0	0	0	0	0	62	86
ENSG00000168646.8	76	72	23	0	1272	0	0	0
ENSG00000152056.12	1	0	0	0	97	0	0	0
ENSG00000253715.1	0	0	0	0	0	0	0	1
ENSG00000255031.1	0	0	0	0	0	0	16	25
ENSG00000140859.11	99	33	32	0	1285	0	0	0
ENSG00000143061.13	0	0	0	0	3	0	0	0
ENSG00000171103.6	4	0	2	0	37	0	0	0
ENSG00000121940.11	8	4	11	0	115	0	0	0
ENSG00000237233.2	0	0	0	0	0	0	0	1
ENSG00000091732.11	3	0	2	0	74	0	0	0
ENSG00000020426.6	5	4	1	0	453	0	0	0
ENSG00000171759.4	33	0	8	0	1081	0	0	0
ENSG00000099251.10	0	0	0	0	0	0	21	52
ENSG00000226790.2	0	0	0	0	0	0	1	0
ENSG00000161835.6	1	1	3	0	12	0	0	0
ENSG00000235609.4	0	0	0	0	0	0	10	50
ENSG00000224916.4	10	0	13	0	94	0	2	0
ENSG00000149932.12	5	4	7	0	72	0	0	0
ENSG00000145782.8	0	0	6	0	22	0	0	0
ENSG00000169021.4	7	0	0	0	7	0	0	0
ENSG00000071859.10	24	5	5	0	105	0	0	0
ENSG00000267419.1	0	0	0	0	0	0	1	46
ENSG00000151092.12	8	1	6	0	79	0	0	0
ENSG00000235106.4	0	0	0	0	0	0	4	8
ENSG00000167083.2	0	0	0	0	1	0	0	0
ENSG00000105671.7	5	0	1	0	57	0	0	0
ENSG00000234719.4	1	0	0	0	5	0	0	0
ENSG00000105953.10	15	0	9	0	307	0	0	0
ENSG00000261308.1	0	0	0	0	0	0	2	0
ENSG00000198518.5	16	5	2	0	0	0	0	0
ENSG00000132958.13	0	0	0	0	5	0	0	0
ENSG00000205707.6	0	0	1	0	12	0	0	0
ENSG00000255358.1	0	0	0	0	0	0	3	0
ENSG00000264860.1	0	0	0	0	0	0	0	8
ENSG00000101230.5	1	0	0	0	20	0	0	0
ENSG00000254862.1	0	0	0	0	0	0	0	1
ENSG00000229387.2	1	0	0	0	0	0	0	0
ENSG00000153363.8	0	0	0	0	0	0	0	4
ENSG00000067840.8	0	0	0	0	1	0	0	0
ENSG00000122376.7	6	2	0	0	255	0	0	0
ENSG00000087502.13	3	2	7	0	25	0	0	0
ENSG00000111737.7	22	9	145	0	189	0	1	0
ENSG00000235280.2	0	0	0	0	0	0	1	0
ENSG00000005100.8	13	0	19	0	105	0	0	0
ENSG00000269807.1	0	0	0	0	0	0	1	5
ENSG00000262248.1	0	0	0	0	0	0	1	0
ENSG00000159433.7	32	4	3	0	124	0	0	0
ENSG00000154035.6	0	0	6	0	10	0	0	0
ENSG00000273004.1	0	0	0	0	0	0	2	0
ENSG00000110871.10	3	0	2	0	14	0	0	0
ENSG00000241489.3	0	2	0	0	72	0	0	0
ENSG00000185418.11	7	0	0	0	96	0	0	0
ENSG00000270638.1	0	0	0	0	0	0	4	0
ENSG00000142632.12	6	0	0	0	16	0	0	0
ENSG00000051009.6	84	0	8	0	42	0	0	0
ENSG00000143149.8	4	0	0	0	23	0	0	0
ENSG00000258847.1	0	0	0	0	1	0	0	0
ENSG00000197808.7	2	1	0	0	5	0	0	0
ENSG00000164631.14	3	4	6	0	60	0	0	0
ENSG00000149403.7	0	0	0	0	19	0	0	0
ENSG00000169762.12	13	0	12	0	101	0	0	0
ENSG00000162390.13	3	0	1	0	89	0	2	52
ENSG00000186523.10	0	0	0	0	4	0	0	0
ENSG00000102974.10	18	1	14	0	209	0	0	0
ENSG00000103174.7	12	0	8	0	83	0	0	0
ENSG00000133169.5	2	3	7	0	10	0	0	0
ENSG00000100784.5	0	0	1	0	49	0	0	0
ENSG00000198915.7	0	0	1	0	8	0	0	0
ENSG00000006468.9	0	0	0	0	1	0	0	0
ENSG00000136144.7	2	1	6	0	157	0	0	0
ENSG00000188937.5	0	0	0	0	1	0	0	0
ENSG00000152763.12	0	0	0	0	2	0	0	0
ENSG00000258017.1	0	0	0	0	0	0	1	12
ENSG00000183172.8	5	7	1	0	7	0	0	0
ENSG00000092964.12	40	5	42	0	423	0	0	0
ENSG00000254718.2	0	0	0	0	0	0	0	1
ENSG00000119185.8	4	13	9	0	49	0	0	0
ENSG00000051382.4	7	18	3	0	229	0	0	0
ENSG00000258084.1	0	0	0	0	0	0	0	1
ENSG00000165632.7	2	1	2	0	267	0	0	0
ENSG00000231083.1	0	0	0	0	0	0	1	6
ENSG00000151376.12	0	0	0	0	1	0	0	0
ENSG00000228998.3	0	0	0	0	0	0	1	0
ENSG00000090612.16	4	1	1	0	67	0	0	0
ENSG00000261716.1	0	0	0	0	0	0	9	0
ENSG00000188522.10	19	2	13	0	337	0	0	0
ENSG00000137699.12	0	1	0	0	56	0	0	0
ENSG00000251920.1	0	0	0	0	0	0	18	0
ENSG00000160957.8	137	0	5	0	110	0	0	0
ENSG00000258285.1	0	0	0	0	0	0	0	3
ENSG00000253554.1	0	0	0	0	0	0	0	1
ENSG00000250317.4	1	1	1	0	10	0	0	2
ENSG00000069696.6	22	2	2	0	56	0	0	0
ENSG00000184305.10	0	0	0	0	6	0	0	0
ENSG00000175573.6	3	0	2	0	5	0	0	0
ENSG00000144045.9	23	0	0	0	106	0	0	0
ENSG00000234770.1	0	0	0	0	0	0	0	47
ENSG00000156531.12	2	0	12	0	15	0	0	0
ENSG00000172650.8	1	2	0	0	7	0	0	0
ENSG00000261280.2	0	0	0	0	0	0	2	0
ENSG00000263539.1	0	0	0	0	0	0	2	0
ENSG00000231925.7	55	6	49	0	66	0	0	0
ENSG00000115091.7	7	12	32	0	268	0	0	0
ENSG00000230872.1	0	0	0	0	0	0	0	3
ENSG00000163689.14	0	0	0	0	3	0	0	0
ENSG00000108773.6	68	1	18	0	149	0	0	0
ENSG00000177338.9	0	0	0	0	0	0	0	11
ENSG00000101391.16	12	0	3	0	109	0	0	0
ENSG00000272523.1	0	0	0	0	0	0	1	0
ENSG00000078319.7	0	0	0	0	0	0	2	5
ENSG00000165804.11	51	44	22	0	277	0	0	0
ENSG00000167674.10	52	7	32	0	268	0	0	0
