ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000256591.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.1005|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.20276
ENSG00000178409.9	NaN|0.00000	2.2674|2.26999	NaN|0.02719	NaN|0.00000	0.5180|1.41640	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000232586.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.53137	0.7699|1.50716
ENSG00000199572.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000205923.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000136305.7	NaN|0.81730	NaN|0.00000	NaN|0.53137	NaN|0.00000	NaN|0.53137	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000267053.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000232120.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000269097.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000138814.12	NaN|0.00000	0.8997|1.20874	1.3670|1.39035	NaN|0.00000	0.0065|0.01692	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000266248.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000164244.16	-1.5626|0.00000	NaN|0.00000	-0.8581|0.00000	NaN|0.00000	-0.2851|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000145736.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000218416.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167074.10	NaN|0.00000	NaN|0.00000	0.7269|0.67295	NaN|0.00000	0.5154|0.36945	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000159128.10	-0.1476|0.00000	2.0748|1.45903	2.1743|3.38353	NaN|0.00000	0.6050|5.15584	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000157680.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.3099|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000174744.9	NaN|0.53137	NaN|0.42221	NaN|0.00000	NaN|0.00000	0.7104|0.83080	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000143793.8	NaN|0.02719	NaN|0.25595	NaN|0.00000	NaN|0.00000	3.1598|14.57440	NaN|0.00000	NaN|0.42221	NaN|0.00000
ENSG00000164902.9	NaN|0.42221	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.5261|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000266208.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.13703	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000242349.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.3829|0.16188	0.1533|0.24787
ENSG00000174343.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000242255.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
